"Country","Date","1.4_ORD","1.4_GEO","4.1_ORD","4.1_GEO","4.2_ORD","4.2_GEO","4.3_ORD","4.3_GEO","4.5_ORD","4.5_GEO","5_E","5_Q","1.4_IND","4.1_IND","4.2_IND","4.3_IND","4.5_IND","5_IND","PHSM SI"
Ireland,"26-Feb-20","0",1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,16.667,2.778
Ireland,"27-Feb-20","0",1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,16.667,2.778
Ireland,"28-Feb-20","0",1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,16.667,2.778
Ireland,"22-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Greece,"27-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Ireland,"13-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"11-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"28-Jan-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"29-Jan-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"30-Jan-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"31-Jan-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"01-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"02-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"12-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"03-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"05-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"06-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"07-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"08-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"09-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"10-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"04-Feb-20","0",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ireland,"29-Feb-20","0",1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,16.667,2.778
Greece,"26-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"24-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"17-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"16-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"15-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"14-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"13-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"12-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"11-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"10-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"09-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"08-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"07-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"06-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"05-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"04-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"03-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"02-Sep-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"01-Sep-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"18-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"19-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"20-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"21-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"22-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"23-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"18-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"24-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"26-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"27-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"28-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"29-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"30-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"31-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"25-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Greece,"19-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"20-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"21-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"10-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"11-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"12-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
