iso2,country,population,capital,population_female,population_male,gender_data
AL,Albania,2874793,Tirana,1437169,1440317,False
AD,Andorra,77383,Andorra la Vella,37521,40145,False
AM,Armenia,2968534,Yerevan,,
AT,Austria,8933346,Vienna,4625459,4413428,True
AZ,Azerbaijan,10226319,Baku,,
BY,Belarus,9446352,Minsk,,
BE,Belgium,11396775,Brussels,5964800,5737303,True
BA,Bosnia and Herzegovina,3261291,Sarajevo,,
BG,Bulgaria,6911167,Sofia,,,False
HR,Croatia,4087234,Zagreb,,
CY,Cyprus,1213585,Nicosia,,
CZ,Czechia,10723088,Prague,5454016,5258381,True
DK,Denmark,5806675,Copenhagen,2936607,2889298,True
EE,Estonia,1327169,Tallinn,702669,616473,
FI,Finland,5546833,Helsinki,,
FR,France,65376055,Paris,33680000,31590000,True
GE,Georgia,10830007,Tbilisi,,
DE,Germany,83974064,Berlin,42672366,41065751,True
GR,Greece,10386806,Athens,,
HU,Hungary,9642902,Budapest,,
IS,Iceland,342812,Reykjavik,,
IE,Ireland,4976791,Dublin,,
IT,Italy,60398612,Rome,,
KZ,Kazakhstan,18990692,Astana,,
XK,Kosovo,1768365,Pristina,,
LV,Latvia,1871316,Riga,,
LI,Liechtenstein,38206,Vaduz,,
LT,Lithuania,2695154,Vilnius,,
LU,Luxembourg,633162,Luxembourg,,
MT,Malta,442378,Valletta,,
MD,Moldova,4024999,Chisinau,,
MC,Monaco,39507,Monaco,,
ME,Montenegro,628142,Podgorica,,
NL,Netherlands,17161789,Amsterdam,,
MK,North Macedonia,2083292,Skopje,,
NO,Norway,5451264,Oslo,,
PL,Poland,37817143,Warsaw,,
PT,Portugal,10175557,Lisbon,5430030,4875534,True
RO,Romania,19146259,Bucharest,,
RU,Russia,145994256,Moscow,,
SM,San Marino,33999,City of San Marino,,
GB-SCT,Scotland,5463300,Edinburgh,2728000,2567400,True
GB-ENG,England,56286961,London,26943308,26069149,True
RS,Serbia,8703708,Belgrade,,
SK,Slovakia,5461521,Bratislava,,
SI,Slovenia,2079141,Ljubljana,,
ES,Spain,46767645,Madrid,,
SE,Sweden,10143897,Stockholm,,
CH,Switzerland,8699459,Bern,,
TR,Turkey,84339067,Ankara,,
UA,Ukraine,41487960,Kiev,,
GB,United Kingdom,68138862,London,,
