date,cases,gender
2020-12-30,0.0,male
2020-12-31,0.0,male
2021-01-01,0.0,male
2021-01-02,0.0,male
2021-01-03,0.0,male
2021-01-04,0.0,male
2021-01-05,52278.0,male
2021-01-06,0.0,male
2021-01-07,0.0,male
2021-01-08,0.0,male
2021-01-09,0.0,male
2021-01-10,0.0,male
2021-01-11,0.0,male
2021-01-12,0.0,male
2021-01-13,0.0,male
2021-01-14,0.0,male
2021-01-15,0.0,male
2021-01-16,0.0,male
2021-01-17,0.0,male
2021-01-18,0.0,male
2021-01-19,0.0,male
2021-01-20,0.0,male
2021-01-21,0.0,male
2021-01-22,0.0,male
2021-01-23,0.0,male
2021-01-24,0.0,male
2021-01-25,0.0,male
2021-01-26,0.0,male
2021-01-27,0.0,male
2021-01-28,0.0,male
2021-01-29,0.0,male
2021-01-30,0.0,male
2021-01-31,0.0,male
2021-02-01,0.0,male
2021-02-02,0.0,male
2021-02-03,0.0,male
2021-02-04,0.0,male
2021-02-05,0.0,male
2021-02-06,0.0,male
2021-02-07,0.0,male
2021-02-08,0.0,male
2021-02-09,0.0,male
2021-02-10,0.0,male
2021-02-11,0.0,male
2021-02-12,0.0,male
2021-02-13,0.0,male
2021-02-14,0.0,male
2021-02-15,0.0,male
2021-02-16,0.0,male
2021-02-17,0.0,male
2021-02-18,0.0,male
2021-02-19,0.0,male
2021-02-20,0.0,male
2021-02-21,0.0,male
2021-02-22,0.0,male
2021-02-23,0.0,male
2021-02-24,0.0,male
2021-02-25,333080.0,male
2021-02-26,9192.0,male
2021-02-27,8132.0,male
2021-02-28,0.0,male
2021-03-01,0.0,male
2021-03-02,27349.0,male
2021-03-03,9439.0,male
2021-03-04,8131.0,male
2021-03-05,12689.0,male
2021-03-06,13437.0,male
2021-03-07,6870.0,male
2021-03-08,9014.0,male
2021-03-09,8279.0,male
2021-03-10,13947.0,male
2021-03-11,3461.0,male
2021-03-12,17157.0,male
2021-03-13,12790.0,male
2021-03-14,9523.0,male
2021-03-15,14332.0,male
2021-03-16,7838.0,male
2021-03-17,12893.0,male
2021-03-18,9711.0,male
2021-03-19,4621.0,male
2021-03-20,16549.0,male
2021-03-21,10050.0,male
2021-03-22,7256.0,male
2021-03-23,13156.0,male
2021-03-24,0.0,male
2021-03-25,20077.0,male
2021-03-26,9323.0,male
2021-03-27,8869.0,male
2021-03-28,9371.0,male
2021-03-29,10157.0,male
2021-03-30,0.0,male
2021-03-31,25914.0,male
2021-04-01,5259.0,male
2021-04-02,14159.0,male
2021-04-03,9855.0,male
2021-04-04,6751.0,male
2021-04-05,5469.0,male
2021-04-06,5087.0,male
2021-04-07,14542.0,male
2021-04-08,4117.0,male
2021-04-09,7850.0,male
2021-04-10,10027.0,male
2021-04-11,6882.0,male
2021-04-12,6435.0,male
2021-04-13,8129.0,male
2021-04-14,8247.0,male
2021-04-15,5234.0,male
2021-04-16,10809.0,male
2021-04-17,4229.0,male
2021-04-18,5656.0,male
2021-04-19,8367.0,male
2021-04-20,6333.0,male
2021-04-21,8137.0,male
2021-04-22,4839.0,male
2021-04-23,8420.0,male
2021-04-24,0.0,male
2021-04-25,0.0,male
2021-04-26,19333.0,male
2021-04-27,5561.0,male
2021-04-28,8082.0,male
2021-04-29,4791.0,male
2021-04-30,6226.0,male
2021-05-01,6150.0,male
2021-05-02,3387.0,male
2021-05-03,6076.0,male
2021-05-04,5840.0,male
2021-05-05,6081.0,male
2021-05-06,3950.0,male
2021-05-07,4433.0,male
2021-05-08,3991.0,male
2021-05-09,2876.0,male
2021-05-10,4775.0,male
2021-05-11,6048.0,male
2021-05-12,0.0,male
2021-05-13,6348.0,male
2021-05-14,0.0,male
2021-05-15,8223.0,male
2021-05-16,2103.0,male
2021-05-17,3873.0,male
2021-05-18,2274.0,male
2021-05-19,3806.0,male
2021-05-20,2172.0,male
2021-05-21,2101.0,male
2021-05-22,1630.0,male
2021-05-23,2698.0,male
2021-05-24,2233.0,male
2021-05-25,0.0,male
2021-05-26,4150.0,male
2021-05-27,1351.0,male
2021-05-28,2055.0,male
2021-05-29,0.0,male
2021-05-30,2255.0,male
2021-05-31,2489.0,male
2021-06-01,2289.0,male
2021-06-02,866.0,male
2021-06-03,0.0,male
2021-06-04,0.0,male
2021-06-05,0.0,male
2021-06-06,0.0,male
2021-06-07,5352.0,male
2021-06-08,851.0,male
2021-06-09,0.0,male
2021-06-10,0.0,male
2021-06-11,3500.0,male
2021-06-12,609.0,male
2021-06-13,556.0,male
2021-06-14,682.0,male
2021-06-15,994.0,male
2021-06-16,868.0,male
2021-06-17,442.0,male
2021-06-18,576.0,male
