date,cases,gender
2020-10-05,94.0,male
2020-10-06,170.0,male
2020-10-07,187.0,male
2020-10-08,170.0,male
2020-10-09,173.0,male
2020-10-10,166.0,male
2020-10-11,78.0,male
2020-10-12,176.0,male
2020-10-13,334.0,male
2020-10-14,340.0,male
2020-10-15,406.0,male
2020-10-16,413.0,male
2020-10-17,320.0,male
2020-10-18,268.0,male
2020-10-19,357.0,male
2020-10-20,690.0,male
2020-10-21,788.0,male
2020-10-22,762.0,male
2020-10-23,934.0,male
2020-10-24,790.0,male
2020-10-25,540.0,male
2020-10-26,664.0,male
2020-10-27,1263.0,male
2020-10-28,1179.0,male
2020-10-29,804.0,male
2020-10-30,816.0,male
2020-10-31,603.0,male
2020-11-01,268.0,male
2020-11-02,549.0,male
2020-11-03,947.0,male
2020-11-04,799.0,male
2020-11-05,675.0,male
2020-11-06,722.0,male
2020-11-07,411.0,male
2020-11-08,224.0,male
2020-11-09,502.0,male
2020-11-10,1035.0,male
2020-11-11,896.0,male
2020-11-12,689.0,male
2020-11-13,818.0,male
2020-11-14,409.0,male
2020-11-15,228.0,male
2020-11-16,622.0,male
2020-11-17,930.0,male
2020-11-18,949.0,male
2020-11-19,631.0,male
2020-11-20,787.0,male
2020-11-21,498.0,male
2020-11-22,211.0,male
2020-11-23,576.0,male
2020-11-24,959.0,male
2020-11-25,827.0,male
2020-11-26,713.0,male
2020-11-27,700.0,male
2020-11-28,519.0,male
2020-11-29,195.0,male
2020-11-30,555.0,male
2020-12-01,1122.0,male
2020-12-02,826.0,male
2020-12-03,777.0,male
2020-12-04,739.0,male
2020-12-05,454.0,male
2020-12-06,232.0,male
2020-12-07,714.0,male
2020-12-08,1043.0,male
2020-12-09,881.0,male
2020-12-10,836.0,male
2020-12-11,809.0,male
2020-12-12,386.0,male
2020-12-13,199.0,male
2020-12-14,678.0,male
2020-12-15,976.0,male
2020-12-16,779.0,male
2020-12-17,704.0,male
2020-12-18,666.0,male
2020-12-19,417.0,male
2020-12-20,192.0,male
2020-12-21,696.0,male
2020-12-22,1021.0,male
2020-12-23,965.0,male
2020-12-24,888.0,male
2020-12-25,183.0,male
2020-12-26,304.0,male
2020-12-27,245.0,male
2020-12-28,924.0,male
2020-12-29,1156.0,male
2020-12-30,1123.0,male
2020-12-31,827.0,male
2021-01-01,178.0,male
2021-01-02,403.0,male
2021-01-03,356.0,male
2021-01-04,1272.0,male
2021-01-05,1647.0,male
2021-01-06,1305.0,male
2021-01-07,1001.0,male
2021-01-08,905.0,male
2021-01-09,369.0,male
2021-01-10,218.0,male
2021-01-11,964.0,male
2021-01-12,994.0,male
2021-01-13,876.0,male
2021-01-14,720.0,male
2021-01-15,743.0,male
2021-01-16,293.0,male
2021-01-17,150.0,male
2021-01-18,847.0,male
2021-01-19,860.0,male
2021-01-20,692.0,male
2021-01-21,713.0,male
2021-01-22,706.0,male
2021-01-23,257.0,male
2021-01-24,151.0,male
2021-01-25,771.0,male
2021-01-26,946.0,male
2021-01-27,802.0,male
2021-01-28,641.0,male
2021-01-29,610.0,male
