date,gender,age_group,cases,deaths
2021-04-08,total,05-14,2010,0
2021-04-08,total,15-34,7991,1
2021-04-08,total,35-59,10466,27
2021-04-08,total,60-79,3657,125
2021-04-08,total,80+,806,126
2021-04-08,total,total,25763,279
2021-04-09,female,00-04,395,0
2021-04-09,female,05-14,916,0
2021-04-09,female,15-34,3580,0
2021-04-09,female,35-59,4480,11
2021-04-09,female,60-79,1655,42
2021-04-09,female,80+,421,39
2021-04-09,female,total,11449,92
2021-04-09,male,00-04,445,0
2021-04-09,male,05-14,1002,0
2021-04-09,male,15-34,3792,2
2021-04-09,male,35-59,4616,16
2021-04-09,male,60-79,1632,79
2021-04-09,male,80+,272,58
2021-04-09,male,total,11761,155
2021-04-09,total,00-04,845,0
2021-04-09,total,05-14,1942,0
2021-04-09,total,15-34,7397,2
2021-04-09,total,35-59,9114,27
2021-04-09,total,60-79,3295,121
2021-04-09,total,80+,696,98
2021-04-09,total,total,23296,248
2021-04-10,female,00-04,301,0
2021-04-10,female,05-14,830,0
2021-04-10,female,15-34,2824,0
2021-04-10,female,35-59,3460,6
2021-04-10,female,60-79,1242,28
2021-04-10,female,80+,336,46
2021-04-10,female,total,8999,80
2021-04-10,male,00-04,341,0
2021-04-10,male,05-14,918,0
2021-04-10,male,15-34,2957,0
2021-04-10,male,35-59,3361,14
2021-04-10,male,60-79,1186,78
2021-04-10,male,80+,193,41
2021-04-10,male,total,8961,133
2021-04-10,total,00-04,655,0
2021-04-10,total,05-14,1767,0
2021-04-10,total,15-34,5815,0
2021-04-10,total,35-59,6839,20
2021-04-10,total,60-79,2434,106
2021-04-10,total,80+,529,87
2021-04-10,total,total,18063,213
2021-04-11,female,00-04,165,0
2021-04-11,female,05-14,427,0
2021-04-11,female,15-34,1397,0
2021-04-11,female,35-59,1699,1
2021-04-11,female,60-79,591,18
2021-04-11,female,80+,154,26
2021-04-11,female,total,4435,45
2021-04-11,male,00-04,190,0
2021-04-11,male,05-14,425,0
2021-04-11,male,15-34,1411,0
2021-04-11,male,35-59,1702,12
2021-04-11,male,60-79,546,30
2021-04-11,male,80+,118,25
2021-04-11,male,total,4393,67
2021-04-11,total,00-04,361,0
2021-04-11,total,05-14,858,0
2021-04-11,total,15-34,2819,0
2021-04-11,total,35-59,3409,13
2021-04-11,total,60-79,1138,48
2021-04-11,total,80+,272,51
2021-04-11,total,total,8860,112
2021-04-12,female,00-04,180,0
2021-04-12,female,05-14,521,0
2021-04-12,female,15-34,1867,0
2021-04-12,female,35-59,2231,9
2021-04-12,female,60-79,844,34
2021-04-12,female,80+,240,39
2021-04-12,female,total,5886,82
2021-04-12,male,00-04,184,0
2021-04-12,male,05-14,552,0
2021-04-12,male,15-34,2032,2
2021-04-12,male,35-59,2370,16
2021-04-12,male,60-79,858,51
2021-04-12,male,80+,180,46
2021-04-12,male,total,6180,115
2021-04-12,total,00-04,369,0
2021-04-12,total,05-14,1076,0
2021-04-12,total,15-34,3916,2
2021-04-12,total,35-59,4617,26
2021-04-12,total,60-79,1704,85
2021-04-12,total,80+,420,85
2021-04-12,total,total,12109,198
2021-04-13,female,00-04,429,0
2021-04-13,female,05-14,1227,0
2021-04-13,female,15-34,4100,0
2021-04-13,female,35-59,5045,4
2021-04-13,female,60-79,1831,45
2021-04-13,female,80+,453,60
2021-04-13,female,total,13090,109
2021-04-13,male,00-04,396,0
2021-04-13,male,05-14,1300,0
2021-04-13,male,15-34,4231,0
2021-04-13,male,35-59,5467,19
2021-04-13,male,60-79,1833,99
2021-04-13,male,80+,296,62
2021-04-13,male,total,13528,180
2021-04-13,total,00-04,829,0
2021-04-13,total,05-14,2550,0
2021-04-13,total,15-34,8365,0
2021-04-13,total,35-59,10553,23
2021-04-13,total,60-79,3670,144
2021-04-13,total,80+,749,122
2021-04-13,total,total,26728,289
2021-04-14,female,00-04,454,0
2021-04-14,female,05-14,1367,0
2021-04-14,female,15-34,4321,1
2021-04-14,female,35-59,5352,8
2021-04-14,female,60-79,1913,42
2021-04-14,female,80+,473,68
2021-04-14,female,total,13881,119
2021-04-14,male,00-04,513,0
2021-04-14,male,05-14,1476,0
2021-04-14,male,15-34,4829,3
2021-04-14,male,35-59,5529,17
2021-04-14,male,60-79,1891,95
2021-04-14,male,80+,312,75
2021-04-14,male,total,14554,190
2021-04-14,total,00-04,979,0
2021-04-14,total,05-14,2871,0
2021-04-14,total,15-34,9185,4
2021-04-14,total,35-59,10914,25
2021-04-14,total,60-79,3809,137
2021-04-14,total,80+,786,143
2021-04-14,total,total,28550,309
2021-04-15,female,00-04,441,0
2021-04-15,female,05-14,1306,0
2021-04-15,female,15-34,3901,1
2021-04-15,female,35-59,4547,4
2021-04-15,female,60-79,1644,34
2021-04-15,female,80+,472,73
2021-04-15,female,total,12311,112
2021-04-15,male,00-04,453,0
2021-04-15,male,05-14,1445,0
2021-04-15,male,15-34,4256,0
2021-04-15,male,35-59,4666,20
2021-04-15,male,60-79,1526,69
2021-04-15,male,80+,296,58
2021-04-15,male,total,12647,147
2021-04-15,total,00-04,903,0
2021-04-15,total,05-14,2770,0
2021-04-15,total,15-34,8190,1
2021-04-15,total,35-59,9248,24
2021-04-15,total,60-79,3179,103
2021-04-15,total,80+,770,131
2021-04-15,total,total,25068,259
2021-04-16,female,00-04,427,0
2021-04-16,female,05-14,1195,0
2021-04-16,female,15-34,3570,1
2021-04-16,female,35-59,4154,8
2021-04-16,female,60-79,1493,37
2021-04-16,female,80+,434,43
2021-04-16,female,total,11277,89
2021-04-16,male,00-04,464,0
2021-04-16,male,05-14,1325,0
2021-04-16,male,15-34,3763,2
2021-04-16,male,35-59,4424,26
2021-04-16,male,60-79,1468,72
2021-04-16,male,80+,248,45
2021-04-16,male,total,11697,145
2021-04-16,total,00-04,896,0
2021-04-16,total,05-14,2540,0
2021-04-16,total,15-34,7367,3
2021-04-16,total,35-59,8612,34
2021-04-16,total,60-79,2972,109
2021-04-16,total,80+,684,88
2021-04-16,total,total,23082,234
2021-04-17,female,00-04,349,0
2021-04-17,female,05-14,858,0
2021-04-17,female,15-34,2693,0
2021-04-17,female,35-59,3240,10
2021-04-17,female,60-79,1159,36
2021-04-17,female,80+,315,41
2021-04-17,female,total,8615,87
2021-04-17,male,00-04,400,0
2021-04-17,male,05-14,1022,0
2021-04-17,male,15-34,2816,1
2021-04-17,male,35-59,3411,18
2021-04-17,male,60-79,1160,47
2021-04-17,male,80+,197,42
2021-04-17,male,total,9008,108
2021-04-17,total,00-04,760,0
2021-04-17,total,05-14,1895,0
2021-04-17,total,15-34,5534,1
2021-04-17,total,35-59,6678,28
2021-04-17,total,60-79,2321,83
