date,gender,age_group,cases,deaths
2021-04-06,female,60-69,2621,
2021-04-06,female,70-79,1308,
2021-04-06,female,80-89,768,
2021-04-06,female,90+,377,
2021-04-06,female,total,28344,
2021-04-06,male,00-09,1240,
2021-04-06,male,10-19,3515,
2021-04-06,male,20-29,4216,
2021-04-06,male,30-39,4018,
2021-04-06,male,40-49,4331,
2021-04-06,male,50-59,3788,
2021-04-06,male,60-69,2217,
2021-04-06,male,70-79,1137,
2021-04-06,male,80-89,482,
2021-04-06,male,90+,146,
2021-04-06,male,total,25105,
2021-04-06,total,00-09,2508,
2021-04-06,total,10-19,7206,
2021-04-06,total,20-29,8762,
2021-04-06,total,30-39,8862,
2021-04-06,total,40-49,9349,
2021-04-06,total,50-59,8060,
2021-04-06,total,60-69,4850,
2021-04-06,total,70-79,2449,
2021-04-06,total,80-89,1253,
2021-04-06,total,90+,523,
2021-04-06,total,total,53843,
2021-04-07,female,00-09,843,
2021-04-07,female,10-19,2713,
2021-04-07,female,20-29,3464,
2021-04-07,female,30-39,3597,
2021-04-07,female,40-49,3434,
2021-04-07,female,50-59,2874,
2021-04-07,female,60-69,1780,
2021-04-07,female,70-79,962,
2021-04-07,female,80-89,639,
2021-04-07,female,90+,297,
2021-04-07,female,total,20612,
2021-04-07,male,00-09,948,
2021-04-07,male,10-19,2708,
2021-04-07,male,20-29,3064,
2021-04-07,male,30-39,2905,
2021-04-07,male,40-49,3005,
2021-04-07,male,50-59,2667,
2021-04-07,male,60-69,1583,
2021-04-07,male,70-79,824,
2021-04-07,male,80-89,365,
2021-04-07,male,90+,121,
2021-04-07,male,total,18198,
2021-04-07,total,00-09,1857,
2021-04-07,total,10-19,5535,
2021-04-07,total,20-29,6555,
2021-04-07,total,30-39,6524,
2021-04-07,total,40-49,6463,
2021-04-07,total,50-59,5567,
2021-04-07,total,60-69,3374,
2021-04-07,total,70-79,1793,
2021-04-07,total,80-89,1006,
2021-04-07,total,90+,419,
2021-04-07,total,total,39110,
2021-04-08,female,00-09,916,
2021-04-08,female,10-19,2649,
2021-04-08,female,20-29,3278,
2021-04-08,female,30-39,3337,
2021-04-08,female,40-49,3304,
2021-04-08,female,50-59,2605,
2021-04-08,female,60-69,1703,
2021-04-08,female,70-79,927,
