date,gender,age_group,cases,deaths
2020-04-20,female,total,359.0,11.0
2020-04-20,male,total,298.0,10.0
2020-04-20,total,total,657.0,21.0
2020-04-21,female,total,294.0,15.0
2020-04-21,male,total,222.0,12.0
2020-04-21,total,total,516.0,27.0
2020-04-22,female,total,399.0,13.0
2020-04-22,male,total,204.0,10.0
2020-04-22,total,total,603.0,23.0
2020-04-23,female,total,185.0,19.0
2020-04-23,male,total,186.0,16.0
2020-04-23,total,total,371.0,35.0
2020-04-24,female,total,224.0,14.0
2020-04-24,male,total,220.0,20.0
2020-04-24,total,total,444.0,34.0
2020-04-25,female,total,302.0,11.0
2020-04-25,male,total,172.0,15.0
2020-04-25,total,total,474.0,26.0
2020-04-26,female,total,287.0,16.0
2020-04-26,male,total,125.0,7.0
2020-04-26,total,total,412.0,23.0
2020-04-27,female,total,100.0,13.0
2020-04-27,male,total,63.0,12.0
2020-04-27,total,total,163.0,25.0
2020-04-28,female,total,171.0,11.0
2020-04-28,male,total,124.0,9.0
2020-04-28,total,total,295.0,20.0
2020-04-29,female,total,110.0,17.0
2020-04-29,male,total,73.0,8.0
2020-04-29,total,total,183.0,25.0
2020-04-30,female,total,230.0,9.0
2020-04-30,male,total,138.0,7.0
2020-04-30,total,total,368.0,16.0
2020-05-01,female,total,166.0,9.0
2020-05-01,male,total,129.0,9.0
2020-05-01,total,total,295.0,18.0
2020-05-02,female,total,107.0,6.0
2020-05-02,male,total,96.0,10.0
2020-05-02,total,total,203.0,16.0
2020-05-03,female,total,8.0,7.0
2020-05-03,male,total,3.0,13.0
2020-05-03,total,total,92.0,20.0
2020-05-04,female,total,176.0,11.0
2020-05-04,male,total,147.0,9.0
2020-05-04,total,total,242.0,20.0
2020-05-05,female,total,113.0,7.0
2020-05-05,male,total,65.0,4.0
2020-05-05,total,total,178.0,11.0
2020-05-06,female,total,263.0,10.0
2020-05-06,male,total,217.0,5.0
2020-05-06,total,total,480.0,15.0
2020-05-07,female,total,297.0,7.0
2020-05-07,male,total,236.0,9.0
2020-05-07,total,total,533.0,16.0
2020-05-08,female,total,319.0,7.0
2020-05-08,male,total,234.0,2.0
