date,gender,cases
2020-11-05,female,4328
2020-11-06,female,3798
2020-11-07,female,1753
2020-11-08,female,782
2020-11-09,female,4880
2020-11-10,female,4396
2020-11-11,female,1138
2020-11-12,female,3670
2020-11-13,female,3341
2020-11-14,female,1375
2020-11-15,female,594
2020-11-16,female,3339
2020-11-17,female,2856
2020-11-18,female,2127
2020-11-19,female,1735
2020-11-20,female,1752
2020-11-21,female,705
2020-11-22,female,358
2020-11-23,female,2257
2020-11-24,female,1624
2020-11-25,female,1523
2020-11-26,female,1398
2020-11-27,female,1617
2020-11-28,female,544
2020-11-29,female,308
2020-11-30,female,1883
2020-12-01,female,1535
2020-12-02,female,1488
2020-12-03,female,1281
2020-12-04,female,1438
2020-12-05,female,597
2020-12-06,female,323
2020-12-07,female,1861
2020-12-08,female,1539
2020-12-09,female,1586
2020-12-10,female,1478
2020-12-11,female,1667
2020-12-12,female,876
2020-12-13,female,415
2020-12-14,female,2138
2020-12-15,female,1878
2020-12-16,female,1544
2020-12-17,female,1568
2020-12-18,female,1477
2020-12-19,female,789
2020-12-20,female,345
2020-12-21,female,1819
2020-12-22,female,1485
2020-12-23,female,1292
2020-12-24,female,914
2020-12-25,female,261
2020-12-26,female,566
2020-12-27,female,288
2020-12-28,female,1417
2020-12-29,female,1258
2020-12-30,female,1109
2020-12-31,female,908
2021-01-01,female,258
2021-01-02,female,557
2021-01-03,female,374
2021-01-04,female,1588
2021-01-05,female,1425
2021-01-06,female,1294
2021-01-07,female,993
2021-01-08,female,1009
2021-01-09,female,685
2021-01-10,female,400
2021-01-11,female,1501
2021-01-12,female,1136
2021-01-13,female,1063
2021-01-14,female,1047
2021-01-15,female,1054
2021-01-16,female,580
2021-01-17,female,384
2021-01-18,female,1561
2021-01-19,female,1249
2021-01-20,female,1270
2021-01-21,female,1184
2021-01-22,female,1318
2021-01-23,female,684
2021-01-24,female,412
2021-01-25,female,1763
2021-01-26,female,1434
2021-01-27,female,1347
2021-01-28,female,1330
2021-01-29,female,1582
2021-01-30,female,800
2021-01-31,female,414
2021-02-01,female,1767
2021-02-02,female,1401
2021-02-03,female,1224
2021-02-04,female,1247
2021-02-05,female,1253
2021-02-06,female,624
2021-02-07,female,300
2021-02-08,female,1379
2021-02-09,female,1105
2021-02-10,female,1089
2021-02-11,female,1039
2021-02-12,female,1029
2021-02-13,female,573
2021-02-14,female,312
2021-02-15,female,1405
2021-02-16,female,1218
2021-02-17,female,1304
2021-02-18,female,1282
2021-02-19,female,1408
2021-02-20,female,782
2021-02-21,female,376
2021-02-22,female,1706
2021-02-23,female,1532
2021-02-24,female,1420
2021-02-25,female,1330
2021-02-26,female,1401
2021-02-27,female,747
2021-02-28,female,355
2021-03-01,female,1568
2021-03-02,female,1392
2021-03-03,female,1396
2021-03-04,female,1334
2021-03-05,female,1397
2021-03-06,female,730
2021-03-07,female,390
2021-03-08,female,1931
2021-03-09,female,1657
2021-03-10,female,1760
2021-03-11,female,1789
2021-03-12,female,1945
2021-03-13,female,1156
2021-03-14,female,727
2021-03-15,female,2639
2021-03-16,female,2375
2021-03-17,female,2475
2021-03-18,female,2572
2021-03-19,female,2596
2021-03-20,female,1407
2021-03-21,female,793
2021-03-22,female,3165
2021-03-23,female,3057
2021-03-24,female,2795
2021-03-25,female,2828
2021-03-26,female,2914
2021-03-27,female,1550
2021-03-28,female,841
2021-03-29,female,3153
2021-03-30,female,2657
2021-03-31,female,2381
2021-04-01,female,2364
2021-04-02,female,2523
2021-04-03,female,1330
2021-04-04,female,753
2021-04-05,female,758
2021-04-06,female,2578
2021-04-07,female,2399
2021-04-08,female,2227
2021-04-09,female,2258
2021-04-10,female,1167
2021-04-11,female,664
2021-04-12,female,2305
2021-04-13,female,2135
2021-04-14,female,1898
2021-04-15,female,1919
2021-04-16,female,2037
2021-04-17,female,1130
2021-04-18,female,645
2021-04-19,female,2698
2021-04-20,female,2242
2021-04-21,female,2011
2021-04-22,female,1921
2021-04-23,female,1789
2021-04-24,female,960
2021-04-25,female,566
2021-04-26,female,2178
2021-04-27,female,1895
2021-04-28,female,1723
2021-04-29,female,1648
2021-04-30,female,1749
2021-05-01,female,680
2021-05-02,female,578
2021-05-03,female,2198
2021-05-04,female,1859
2021-05-05,female,1810
2021-05-06,female,1733
2021-05-07,female,1642
2021-05-08,female,889
2021-05-09,female,425
2021-05-10,female,1663
2021-05-11,female,1500
2021-05-12,female,1425
2021-05-13,female,462
2021-05-14,female,1323
2021-05-15,female,639
2021-05-16,female,370
2021-05-17,female,1820
2021-05-18,female,1607
2021-05-19,female,1626
2021-05-20,female,1206
2021-05-21,female,1244
2021-05-22,female,738
2021-05-23,female,396
2021-05-24,female,459
2021-05-25,female,1412
2021-05-26,female,1294
2021-05-27,female,1099
2021-05-28,female,1025
2021-05-29,female,553
2021-05-30,female,312
2021-05-31,female,1018
2021-06-01,female,845
2021-06-02,female,716
2021-06-03,female,751
2021-06-04,female,695
2021-06-05,female,317
2021-06-06,female,188
2021-06-07,female,592
2021-06-08,female,508
2021-06-09,female,406
2021-06-10,female,375
2021-06-11,female,398
2021-06-12,female,190
2021-06-13,female,92
2021-06-14,female,399
2021-06-15,female,240
2021-06-16,female,204
2021-06-17,female,226
2021-06-18,female,193
2021-06-19,female,134
2021-06-20,female,68
2021-06-21,female,233
2021-06-22,female,176
2021-06-23,female,191
2021-06-24,female,166
2021-06-25,female,196
2021-06-26,female,126
2021-06-27,female,83
2021-06-28,female,303
2021-06-29,female,278
2021-06-30,female,309
2021-07-01,female,309
2021-07-02,female,366
2021-07-03,female,280
2021-07-04,female,177
2021-07-05,female,521
2021-07-06,female,517
2021-07-07,female,565
2021-07-08,female,578
2021-07-09,female,653
2021-07-10,female,483
2021-07-11,female,369
2021-07-12,female,818
2021-07-13,female,674
2021-07-14,female,711
2021-07-15,female,649
2021-07-16,female,752
2021-07-17,female,501
2021-07-18,female,399
2021-07-19,female,1078
2021-07-20,female,978
2021-07-21,female,373
2021-07-22,female,923
2021-07-23,female,842
2021-07-24,female,576
2021-07-25,female,383
2021-07-26,female,1095
2021-07-27,female,800
2021-07-28,female,887
2021-07-29,female,921
2021-07-30,female,876
2021-07-31,female,614
2021-08-01,female,519
2021-08-02,female,1153
2021-08-03,female,1000
2021-08-04,female,969
2021-08-05,female,943
2021-08-06,female,1105
2021-08-07,female,673
2021-08-08,female,468
2021-08-09,female,1332
2021-08-10,female,1186
2021-08-11,female,1054
2021-08-12,female,1072
2021-08-13,female,1172
2021-08-14,female,726
2021-08-15,female,408
2021-08-16,female,1496
2021-08-17,female,1129
2021-08-18,female,1211
2021-08-19,female,1064
2021-08-20,female,1200
2021-08-21,female,684
2021-08-22,female,490
2021-08-23,female,1421
2021-08-24,female,1290
2021-08-25,female,1230
2021-08-26,female,1164
2021-08-27,female,1153
2021-08-28,female,736
2021-08-29,female,441
2021-08-30,female,1581
2021-08-31,female,1240
2021-09-01,female,1152
2021-09-02,female,1074
2021-09-03,female,1134
2021-09-04,female,657
2021-09-05,female,379
2021-09-06,female,1485
2021-09-07,female,1251
2021-09-08,female,1235
2021-09-09,female,1133
2021-09-10,female,1198
2021-09-11,female,718
2021-09-12,female,367
2021-09-13,female,1509
2021-09-14,female,1283
2021-09-15,female,1249
2021-09-16,female,1257
2021-09-17,female,1278
2021-09-18,female,647
2021-09-19,female,346
2021-09-20,female,1516
2021-09-21,female,1190
2021-09-22,female,1135
2021-09-23,female,1098
2021-09-24,female,1184
2021-09-25,female,639
2021-09-26,female,358
2021-09-27,female,1402
2021-09-28,female,1276
2021-09-29,female,1130
2021-09-30,female,1141
2021-10-01,female,1139
2021-10-02,female,572
2021-10-03,female,357
2021-10-04,female,1502
2021-10-05,female,1187
2021-10-06,female,1293
2021-10-07,female,1305
2021-10-08,female,1381
2021-10-09,female,745
2021-10-10,female,402
2021-10-11,female,2050
2021-10-12,female,1768
2021-10-13,female,1847
2021-10-14,female,2053
2021-10-15,female,2193
2021-10-16,female,1188
2021-10-17,female,748
2021-10-18,female,3469
2021-10-19,female,3284
2021-10-20,female,3495
2021-10-21,female,3676
