date,gender,age_group,cases,deaths
2021-05-07,female,45-64,15,0
2021-05-07,female,65-74,4,0
2021-05-07,female,75-84,1,0
2021-05-07,female,85+,0,0
2021-05-07,female,total,104,0
2021-05-07,male,00-14,16,0
2021-05-07,male,15-19,8,0
2021-05-07,male,20-24,10,0
2021-05-07,male,25-44,36,0
2021-05-07,male,45-64,23,0
2021-05-07,male,65-74,4,0
2021-05-07,male,75-84,2,0
2021-05-07,male,85+,0,0
2021-05-07,male,total,99,0
2021-05-07,total,00-14,48,0
2021-05-07,total,15-19,18,0
2021-05-07,total,20-24,18,0
2021-05-07,total,25-44,70,0
2021-05-07,total,45-64,38,0
2021-05-07,total,65-74,8,0
2021-05-07,total,75-84,3,0
2021-05-07,total,85+,0,0
2021-05-07,total,total,203,0
2021-05-08,female,00-14,21,0
2021-05-08,female,15-19,12,0
2021-05-08,female,20-24,10,0
2021-05-08,female,25-44,33,0
2021-05-08,female,45-64,11,0
2021-05-08,female,65-74,0,0
2021-05-08,female,75-84,1,0
2021-05-08,female,85+,0,0
2021-05-08,female,total,88,0
2021-05-08,male,00-14,10,0
2021-05-08,male,15-19,8,0
2021-05-08,male,20-24,12,0
2021-05-08,male,25-44,40,0
2021-05-08,male,45-64,24,0
2021-05-08,male,65-74,0,0
2021-05-08,male,75-84,1,0
2021-05-08,male,85+,0,0
2021-05-08,male,total,95,0
2021-05-08,total,00-14,31,0
2021-05-08,total,15-19,20,0
2021-05-08,total,20-24,22,0
2021-05-08,total,25-44,74,0
2021-05-08,total,45-64,36,0
2021-05-08,total,65-74,0,0
2021-05-08,total,75-84,2,0
2021-05-08,total,85+,0,0
2021-05-08,total,total,185,0
2021-05-09,female,00-14,23,0
2021-05-09,female,15-19,12,0
2021-05-09,female,20-24,9,0
2021-05-09,female,25-44,48,0
2021-05-09,female,45-64,11,0
2021-05-09,female,65-74,1,0
2021-05-09,female,75-84,2,0
2021-05-09,female,85+,1,0
2021-05-09,female,total,107,0
2021-05-09,male,00-14,27,0
2021-05-09,male,15-19,8,0
2021-05-09,male,20-24,15,0
2021-05-09,male,25-44,35,0
2021-05-09,male,45-64,14,0
2021-05-09,male,65-74,2,0
2021-05-09,male,75-84,0,0
2021-05-09,male,85+,1,0
2021-05-09,male,total,102,0
2021-05-09,total,00-14,50,0
2021-05-09,total,15-19,20,0
2021-05-09,total,20-24,24,0
2021-05-09,total,25-44,84,0
2021-05-09,total,45-64,25,0
2021-05-09,total,65-74,3,0
2021-05-09,total,75-84,2,0
2021-05-09,total,85+,2,0
2021-05-09,total,total,210,0
2021-05-10,female,00-14,37,0
2021-05-10,female,15-19,19,0
2021-05-10,female,20-24,9,0
2021-05-10,female,25-44,56,0
2021-05-10,female,45-64,28,0
2021-05-10,female,65-74,2,0
2021-05-10,female,75-84,2,0
2021-05-10,female,85+,1,0
2021-05-10,female,total,154,0
2021-05-10,male,00-14,34,0
2021-05-10,male,15-19,24,0
2021-05-10,male,20-24,17,0
2021-05-10,male,25-44,59,0
2021-05-10,male,45-64,39,0
2021-05-10,male,65-74,1,0
2021-05-10,male,75-84,1,0
2021-05-10,male,85+,0,0
2021-05-10,male,total,175,0
2021-05-10,total,00-14,71,0
2021-05-10,total,15-19,43,0
2021-05-10,total,20-24,26,0
2021-05-10,total,25-44,115,0
2021-05-10,total,45-64,67,0
2021-05-10,total,65-74,3,0
2021-05-10,total,75-84,3,0
2021-05-10,total,85+,1,0
2021-05-10,total,total,329,0
2021-05-11,female,00-14,39,0
2021-05-11,female,15-19,10,0
2021-05-11,female,20-24,12,0
2021-05-11,female,25-44,55,0
2021-05-11,female,45-64,17,0
2021-05-11,female,65-74,1,0
2021-05-11,female,75-84,0,0
2021-05-11,female,85+,1,0
2021-05-11,female,total,135,0
2021-05-11,male,00-14,39,0
2021-05-11,male,15-19,12,0
2021-05-11,male,20-24,21,0
2021-05-11,male,25-44,51,0
2021-05-11,male,45-64,21,0
2021-05-11,male,65-74,2,0
2021-05-11,male,75-84,1,0
2021-05-11,male,85+,0,0
2021-05-11,male,total,147,0
2021-05-11,total,00-14,78,0
2021-05-11,total,15-19,22,0
2021-05-11,total,20-24,33,0
2021-05-11,total,25-44,106,0
2021-05-11,total,45-64,38,0
2021-05-11,total,65-74,3,0
2021-05-11,total,75-84,1,0
2021-05-11,total,85+,1,0
2021-05-11,total,total,282,0
2021-05-12,female,00-14,30,0
2021-05-12,female,15-19,17,0
2021-05-12,female,20-24,11,0
2021-05-12,female,25-44,51,1
2021-05-12,female,45-64,26,0
2021-05-12,female,65-74,1,0
2021-05-12,female,75-84,1,0
2021-05-12,female,85+,0,0
2021-05-12,female,total,137,1
2021-05-12,male,00-14,44,0
2021-05-12,male,15-19,14,0
2021-05-12,male,20-24,17,0
2021-05-12,male,25-44,59,0
2021-05-12,male,45-64,20,1
2021-05-12,male,65-74,5,0
2021-05-12,male,75-84,2,0
2021-05-12,male,85+,0,0
2021-05-12,male,total,161,1
2021-05-12,total,00-14,74,0
2021-05-12,total,15-19,31,0
2021-05-12,total,20-24,28,0
2021-05-12,total,25-44,110,1
2021-05-12,total,45-64,46,1
2021-05-12,total,65-74,6,0
2021-05-12,total,75-84,3,0
2021-05-12,total,85+,0,0
2021-05-12,total,total,298,2
2021-05-13,female,00-14,31,0
2021-05-13,female,15-19,16,0
2021-05-13,female,20-24,10,0
2021-05-13,female,25-44,44,0
2021-05-13,female,45-64,31,0
2021-05-13,female,65-74,6,0
2021-05-13,female,75-84,1,0
2021-05-13,female,85+,0,0
2021-05-13,female,total,139,0
2021-05-13,male,00-14,43,0
2021-05-13,male,15-19,16,0
2021-05-13,male,20-24,20,0
2021-05-13,male,25-44,52,0
2021-05-13,male,45-64,28,0
2021-05-13,male,65-74,8,0
2021-05-13,male,75-84,5,0
2021-05-13,male,85+,3,0
2021-05-13,male,total,175,0
2021-05-13,total,00-14,74,0
