,date,gender,age_group,cases,deaths
19,2021-04-01,female,total,,
39,2021-04-01,male,total,,
59,2021-04-01,total,total,,
79,2021-04-02,female,total,1272.0,
99,2021-04-02,male,total,1171.0,
119,2021-04-02,total,total,2443.0,
139,2021-04-03,female,total,1204.0,
159,2021-04-03,male,total,1072.0,
179,2021-04-03,total,total,2276.0,
199,2021-04-04,female,total,1152.0,
219,2021-04-04,male,total,1013.0,
239,2021-04-04,total,total,2165.0,
259,2021-04-05,female,total,1286.0,
279,2021-04-05,male,total,1184.0,
299,2021-04-05,total,total,2470.0,
319,2021-04-06,female,total,1485.0,
339,2021-04-06,male,total,1388.0,
359,2021-04-06,total,total,2873.0,
379,2021-04-07,female,total,1493.0,
399,2021-04-07,male,total,1345.0,
419,2021-04-07,total,total,2839.0,
439,2021-04-08,female,total,1401.0,
459,2021-04-08,male,total,1326.0,
479,2021-04-08,total,total,2727.0,
499,2021-04-09,female,total,1272.0,
519,2021-04-09,male,total,1283.0,
539,2021-04-09,total,total,2555.0,
559,2021-04-10,female,total,1029.0,
579,2021-04-10,male,total,1061.0,
599,2021-04-10,total,total,2090.0,
619,2021-04-11,female,total,1039.0,
639,2021-04-11,male,total,1060.0,
659,2021-04-11,total,total,2099.0,
679,2021-04-12,female,total,1250.0,
699,2021-04-12,male,total,1223.0,
719,2021-04-12,total,total,2475.0,
739,2021-04-13,female,total,1067.0,
759,2021-04-13,male,total,1081.0,
779,2021-04-13,total,total,2148.0,
799,2021-04-14,female,total,1112.0,
819,2021-04-14,male,total,1025.0,
839,2021-04-14,total,total,2137.0,
859,2021-04-15,female,total,976.0,
879,2021-04-15,male,total,1006.0,
899,2021-04-15,total,total,1982.0,
919,2021-04-16,female,total,1061.0,
939,2021-04-16,male,total,1106.0,
959,2021-04-16,total,total,2167.0,
979,2021-04-17,female,total,764.0,
999,2021-04-17,male,total,735.0,
1019,2021-04-17,total,total,1499.0,
1039,2021-04-18,female,total,1191.0,
1059,2021-04-18,male,total,1094.0,
1079,2021-04-18,total,total,2287.0,
1099,2021-04-19,female,total,1188.0,
1119,2021-04-19,male,total,1172.0,
1139,2021-04-19,total,total,2360.0,
1159,2021-04-20,female,total,1089.0,
1179,2021-04-20,male,total,1073.0,
1199,2021-04-20,total,total,2162.0,
1219,2021-04-21,female,total,1206.0,
1239,2021-04-21,male,total,1142.0,
1259,2021-04-21,total,total,2348.0,
1279,2021-04-22,female,total,1042.0,
1299,2021-04-22,male,total,1051.0,
1319,2021-04-22,total,total,2093.0,
1339,2021-04-23,female,total,895.0,
1359,2021-04-23,male,total,859.0,
1379,2021-04-23,total,total,1754.0,
1399,2021-04-24,female,total,686.0,
1419,2021-04-24,male,total,652.0,
1439,2021-04-24,total,total,1338.0,
1459,2021-04-25,female,total,1067.0,
1479,2021-04-25,male,total,804.0,
1499,2021-04-25,total,total,1871.0,
1519,2021-04-26,female,total,1208.0,
1539,2021-04-26,male,total,1053.0,
1559,2021-04-26,total,total,2261.0,
1579,2021-04-27,female,total,950.0,
1599,2021-04-27,male,total,921.0,
1619,2021-04-27,total,total,1871.0,
1639,2021-04-28,female,total,1212.0,
1659,2021-04-28,male,total,975.0,
1679,2021-04-28,total,total,2189.0,
1699,2021-04-29,female,total,1005.0,
1719,2021-04-29,male,total,875.0,
1739,2021-04-29,total,total,1881.0,
1759,2021-04-30,female,total,825.0,
1779,2021-04-30,male,total,741.0,
1799,2021-04-30,total,total,1566.0,
1819,2021-05-01,female,total,612.0,
1839,2021-05-01,male,total,633.0,
1859,2021-05-01,total,total,1246.0,
1879,2021-05-02,female,total,713.0,
1899,2021-05-02,male,total,616.0,
1919,2021-05-02,total,total,1329.0,
1939,2021-05-03,female,total,991.0,
1959,2021-05-03,male,total,860.0,
1979,2021-05-03,total,total,1851.0,
1999,2021-05-04,female,total,1168.0,
2019,2021-05-04,male,total,1044.0,
2039,2021-05-04,total,total,2212.0,
2059,2021-05-05,female,total,1192.0,
2079,2021-05-05,male,total,1042.0,
2099,2021-05-05,total,total,2234.0,
2119,2021-05-06,female,total,1003.0,
2139,2021-05-06,male,total,1002.0,
2159,2021-05-06,total,total,2006.0,
2179,2021-05-07,female,total,912.0,
2199,2021-05-07,male,total,820.0,
2219,2021-05-07,total,total,1732.0,
2239,2021-05-08,female,total,685.0,
2259,2021-05-08,male,total,687.0,
2279,2021-05-08,total,total,1374.0,
2299,2021-05-09,female,total,1120.0,
2319,2021-05-09,male,total,932.0,
2339,2021-05-09,total,total,2053.0,
2359,2021-05-10,female,total,1291.0,
2379,2021-05-10,male,total,1199.0,
2399,2021-05-10,total,total,2490.0,
2419,2021-05-11,female,total,1019.0,
2439,2021-05-11,male,total,998.0,
2459,2021-05-11,total,total,2017.0,
2479,2021-05-12,female,total,1071.0,
2499,2021-05-12,male,total,978.0,
2519,2021-05-12,total,total,2049.0,
2539,2021-05-13,female,total,983.0,
2559,2021-05-13,male,total,972.0,
2579,2021-05-13,total,total,1955.0,
2599,2021-05-14,female,total,896.0,
2619,2021-05-14,male,total,845.0,
2639,2021-05-14,total,total,1741.0,
2659,2021-05-15,female,total,774.0,
2679,2021-05-15,male,total,705.0,
2699,2021-05-15,total,total,1479.0,
2719,2021-05-16,female,total,890.0,
2739,2021-05-16,male,total,852.0,
2759,2021-05-16,total,total,1742.0,
2779,2021-05-17,female,total,1342.0,
2799,2021-05-17,male,total,1257.0,
2819,2021-05-17,total,total,2599.0,
2839,2021-05-18,female,total,1315.0,
2859,2021-05-18,male,total,1227.0,
2879,2021-05-18,total,total,2542.0,
2899,2021-05-19,female,total,1334.0,
2919,2021-05-19,male,total,1242.0,
2939,2021-05-19,total,total,2576.0,
2959,2021-05-20,female,total,1118.0,
2979,2021-05-20,male,total,1159.0,
2999,2021-05-20,total,total,2280.0,
3019,2021-05-21,female,total,1102.0,
3039,2021-05-21,male,total,1043.0,
3059,2021-05-21,total,total,2145.0,
3079,2021-05-22,female,total,939.0,
3099,2021-05-22,male,total,875.0,
3119,2021-05-22,total,total,1814.0,
3139,2021-05-23,female,total,1131.0,
3159,2021-05-23,male,total,1029.0,
3179,2021-05-23,total,total,2160.0,
3199,2021-05-24,female,total,1565.0,
3219,2021-05-24,male,total,1534.0,
3239,2021-05-24,total,total,3100.0,
3259,2021-05-25,female,total,1527.0,
3279,2021-05-25,male,total,1652.0,
3299,2021-05-25,total,total,3179.0,
3319,2021-05-26,female,total,1846.0,
3339,2021-05-26,male,total,1824.0,
3359,2021-05-26,total,total,3671.0,
3379,2021-05-27,female,total,1769.0,
3399,2021-05-27,male,total,1723.0,
3419,2021-05-27,total,total,3492.0,
3439,2021-05-28,female,total,1664.0,
3459,2021-05-28,male,total,1697.0,
3479,2021-05-28,total,total,3362.0,
3499,2021-05-29,female,total,1417.0,
3519,2021-05-29,male,total,1395.0,
3539,2021-05-29,total,total,2812.0,
3559,2021-05-30,female,total,1509.0,
3579,2021-05-30,male,total,1507.0,
3599,2021-05-30,total,total,3016.0,
3619,2021-05-31,female,total,1810.0,
3639,2021-05-31,male,total,1843.0,
3659,2021-05-31,total,total,3654.0,
3679,2021-06-01,female,total,2498.0,
3699,2021-06-01,male,total,2582.0,
3719,2021-06-01,total,total,5083.0,
3739,2021-06-02,female,total,2842.0,
3759,2021-06-02,male,total,3008.0,
3779,2021-06-02,total,total,5851.0,
3799,2021-06-03,female,total,2960.0,
3819,2021-06-03,male,total,2938.0,
3839,2021-06-03,total,total,5903.0,
3859,2021-06-04,female,total,2676.0,
3879,2021-06-04,male,total,2861.0,
3899,2021-06-04,total,total,5538.0,
3919,2021-06-05,female,total,2239.0,
3939,2021-06-05,male,total,2202.0,
3959,2021-06-05,total,total,4442.0,
3979,2021-06-06,female,total,2716.0,
3999,2021-06-06,male,total,2556.0,
4019,2021-06-06,total,total,5273.0,
4039,2021-06-07,female,total,3770.0,
4059,2021-06-07,male,total,3729.0,
4079,2021-06-07,total,total,7499.0,
4099,2021-06-08,female,total,3695.0,
4119,2021-06-08,male,total,3719.0,
4139,2021-06-08,total,total,7414.0,
4159,2021-06-09,female,total,3909.0,
4179,2021-06-09,male,total,3831.0,
4199,2021-06-09,total,total,7742.0,
4219,2021-06-10,female,total,3804.0,
4239,2021-06-10,male,total,3728.0,
4259,2021-06-10,total,total,7533.0,
4279,2021-06-11,female,total,3611.0,
4299,2021-06-11,male,total,3545.0,
4319,2021-06-11,total,total,7157.0,
4339,2021-06-12,female,total,2983.0,
4359,2021-06-12,male,total,2961.0,
4379,2021-06-12,total,total,5944.0,
4399,2021-06-13,female,total,3497.0,
4419,2021-06-13,male,total,3242.0,
4439,2021-06-13,total,total,6741.0,
4459,2021-06-14,female,total,4884.0,
4479,2021-06-14,male,total,4892.0,
4499,2021-06-14,total,total,9776.0,
4519,2021-06-15,female,total,4955.0,
4539,2021-06-15,male,total,5117.0,
4559,2021-06-15,total,total,10073.0,
4579,2021-06-16,female,total,5142.0,
4599,2021-06-16,male,total,5233.0,
4619,2021-06-16,total,total,10376.0,
4639,2021-06-17,female,total,5115.0,
4659,2021-06-17,male,total,5170.0,
4679,2021-06-17,total,total,10286.0,
4699,2021-06-18,female,total,4841.0,
4719,2021-06-18,male,total,4834.0,
4739,2021-06-18,total,total,9675.0,
4759,2021-06-19,female,total,3942.0,
4779,2021-06-19,male,total,3968.0,
4799,2021-06-19,total,total,7912.0,
4819,2021-06-20,female,total,4688.0,
4839,2021-06-20,male,total,4836.0,
4859,2021-06-20,total,total,9524.0,
4879,2021-06-21,female,total,7023.0,
4899,2021-06-21,male,total,8316.0,
4919,2021-06-21,total,total,15340.0,
4939,2021-06-22,female,total,7372.0,
4959,2021-06-22,male,total,9006.0,
