Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Ankara,06/07/2021,50.3,78.2,66.4,37.5,37.58,,7.1,11.4,130.58,,0.0,0.0,0.0,11.0,25.0,1013.0,,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,Clear,
Ankara,06/08/2021,57.6,70.7,62.9,51.2,67.26,,6.6,13.9,81.04,,0.3,12.5,0.0,10.7,77.7,1011.6,"Thunderstorm, Rain Showers, Sky Coverage Increasing",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Overcast",
Ankara,06/09/2021,55.8,74.4,63.9,51.8,66.93,,10.0,13.9,60.0,,0.12,12.5,0.0,11.0,53.4,1009.2,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Partially cloudy",
Ankara,06/10/2021,53.1,76.9,64.9,49.4,61.78,,8.7,23.0,57.75,,0.16,4.17,0.0,10.6,41.1,1007.5,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Partially cloudy",
Ankara,06/11/2021,57.6,75.3,62.7,52.7,72.07,,12.7,18.3,82.33,,0.21,8.33,0.0,10.3,67.1,1009.3,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Partially cloudy",
Ankara,06/12/2021,57.3,71.8,61.6,54.0,77.1,,9.0,24.2,104.08,,0.08,4.17,0.0,10.1,71.9,1011.7,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Partially cloudy",
Ankara,06/13/2021,50.8,79.4,66.0,48.2,57.68,,5.3,10.3,125.42,,0.01,4.17,0.0,11.0,28.8,1010.2,"Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Decreasing",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Partially cloudy",
Ankara,06/14/2021,55.6,76.3,62.5,53.0,73.54,,10.2,27.7,123.83,,0.53,16.67,0.0,9.8,80.2,1006.4,"Thunderstorm, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Overcast",
Ankara,06/15/2021,53.0,68.8,60.6,48.2,66.92,,6.7,12.8,251.88,,0.18,8.33,0.0,10.9,72.8,1008.6,"Rain Showers, Sky Coverage Increasing",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Partially cloudy",
Ankara,06/16/2021,57.0,69.6,64.0,45.5,52.57,,11.0,18.3,166.57,,0.35,4.17,,11.0,57.5,1006.6,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Partially cloudy",
Ankara,06/17/2021,56.0,71.1,63.8,48.4,59.52,,7.8,12.8,237.67,,0.01,4.17,0.0,11.0,66.4,1013.0,,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Partially cloudy",
