Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Belgrade,05/16/2021,59.0,70.0,63.2,54.3,74.32,,8.2,,236.0,,0.05,8.33,,9.2,36.0,1008.8,"Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy",
Belgrade,05/17/2021,53.3,67.0,58.6,54.3,85.68,,15.2,35.8,182.75,,1.29,12.5,,8.1,42.9,1006.6,"Mist, Rain, Thunderstorm, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy",
Belgrade,05/18/2021,50.0,69.9,60.0,47.5,66.87,,15.8,29.1,251.5,,0.0,4.17,,12.2,14.1,1011.7,Sky Coverage Increasing,44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Clear,
Belgrade,05/19/2021,52.6,62.8,56.7,52.0,84.74,,9.6,,159.5,,0.2,8.33,,10.9,45.1,1011.1,"Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy",
Belgrade,05/20/2021,51.0,55.4,52.9,51.2,94.02,,22.2,26.8,273.46,,0.59,12.5,,5.5,88.5,1011.2,"Mist, Light Drizzle, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Overcast",
Belgrade,05/21/2021,46.4,70.8,58.9,47.7,70.74,,11.4,,228.83,42.3,0.2,4.17,,10.7,25.6,1018.0,"Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy",
Belgrade,05/22/2021,55.8,78.5,67.9,46.1,47.9,,8.9,,166.04,,0.0,0.0,,13.5,24.0,1014.5,,44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Clear,
Belgrade,05/23/2021,56.2,83.0,69.5,50.2,53.67,81.5,15.4,29.1,197.92,,0.0,0.0,,12.0,13.7,1014.9,,44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Clear,
Belgrade,05/24/2021,53.1,71.1,62.7,50.3,65.15,,13.3,24.6,157.54,,0.01,4.17,,12.8,27.0,1021.3,"Rain, Light Rain, Sky Coverage Decreasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy",
Belgrade,05/25/2021,60.5,82.1,72.9,56.3,56.66,82.7,26.8,40.3,222.21,,0.02,8.33,,10.9,31.3,1014.8,"Thunderstorm, Rain, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy",
Belgrade,05/26/2021,52.1,71.8,62.2,43.4,52.25,,14.2,24.6,206.57,,0.0,4.17,,12.0,17.4,1020.2,"Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Clear,
Belgrade,05/27/2021,55.6,76.7,67.0,47.5,51.8,,8.9,,82.74,,0.0,0.0,,13.3,20.2,1014.5,,44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Clear,
Belgrade,05/28/2021,55.9,70.4,62.4,48.6,61.62,,16.7,26.8,275.75,,0.0,0.0,,12.2,29.5,1016.7,,44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Partially cloudy,
Belgrade,05/29/2021,49.5,71.9,62.0,46.8,60.52,,15.8,27.7,280.42,46.8,0.0,0.0,,11.2,11.4,1018.0,,44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Clear,
Belgrade,05/30/2021,55.3,69.1,61.2,44.5,55.1,,14.4,,280.17,,0.0,0.0,,11.7,29.7,1018.2,"Light Rain, Sky Coverage Decreasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Partially cloudy,
Belgrade,05/31/2021,49.4,61.4,55.4,49.1,79.77,,17.3,22.4,292.67,48.7,0.14,12.5,,9.7,61.2,1017.3,"Rain, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy",
Belgrade,06/01/2021,51.8,67.5,58.4,47.6,70.13,,14.8,,302.63,,0.43,8.33,,8.5,32.0,1016.2,"Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy",
