Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Bern,05/16/2021,43.5,52.5,48.7,45.9,89.94,,6.1,,165.33,42.0,1.38,79.17,0.0,2.8,0.2,1008.5,"Mist, Light Rain",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
Bern,05/17/2021,45.5,55.0,49.2,41.8,75.98,,17.8,,228.17,40.7,0.28,83.33,0.0,6.6,0.3,1013.0,"Light Rain, Sky Coverage Increasing",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
Bern,05/18/2021,46.3,59.1,51.0,41.0,70.95,,9.7,,245.25,43.3,0.18,50.0,0.0,9.3,0.2,1017.2,Sky Coverage Increasing,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
Bern,05/19/2021,44.5,53.0,47.4,41.3,79.71,,8.1,,177.42,42.3,0.78,91.67,0.39,6.4,0.3,1020.9,"Mist, Thunderstorm, Rain Showers",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
Bern,05/20/2021,43.9,59.7,51.1,39.8,68.12,,6.8,,229.63,43.1,0.13,41.67,0.0,9.5,0.3,1022.8,"Light Rain, Sky Coverage Decreasing",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
Bern,05/21/2021,46.2,57.6,50.2,45.7,84.59,,8.6,,180.08,43.3,0.61,66.67,0.39,5.9,0.2,1015.5,Rain,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
Bern,05/22/2021,44.5,62.3,52.4,40.8,67.27,,11.5,,236.04,40.5,0.21,33.33,0.39,24.9,0.1,1013.2,Sky Coverage Increasing,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
Bern,05/23/2021,45.4,60.9,51.9,40.8,68.85,,8.2,,211.46,42.3,0.34,45.83,0.39,15.9,0.2,1018.4,"Light Rain, Sky Coverage Decreasing",46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
Bern,05/24/2021,44.5,60.9,51.9,42.6,72.24,,13.8,,198.23,43.0,0.24,18.18,0.0,11.8,0.3,1014.9,,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
Bern,05/25/2021,43.8,58.2,50.1,37.9,64.98,,16.6,,244.42,37.8,0.18,41.67,0.39,14.1,0.2,1022.0,Precipitation In Vicinity,46.9484,7.4404600000000025,"Bern, BE, Schweiz","Bern, BE, Schweiz",,Rain,
